SID,DID,ID,Birthyr,Birthyrcat,Energy,yr,age,antler kg,bm kg
209058,211006,213158,2013,B,L,2015,2.5,0.384,49.89512
210045,210059,214071,2014,C,L,2015,1.5,0.288,49.441528
210045,210074,214142,2014,C,L,2016,2.5,0.268,49.441528
209029,210036,212083,2012,A,L,2015,3.5,0.544,48.987936
209020,211002,213060,2013,B,L,2014,1.5,0.2,48.987936
210089,209024,214013,2014,C,L,2015,1.5,0.09,48.987936
210069,210064,214069,2014,C,L,2016,2.5,0.282,48.987936
210060,211047,214076,2014,C,S,2015,1.5,0.224,48.987936
210097,207051,212038,2012,A,L,2013,1.5,0.13,48.534344
210097,210034,212042,2012,A,S,2014,2.5,0.548,48.534344
210039,210067,212082,2012,A,S,2013,1.5,0.202,48.534344
209058,210003,213078,2013,B,S,2014,1.5,0.36,48.534344
209020,211045,213085,2013,B,L,2014,1.5,0.134,48.534344
209025,211078,213120,2013,B,L,2015,2.5,0.576,48.534344
210089,210072,214131,2014,C,S,2015,1.5,0.236,48.534344
212011,213086,216022,2016,D,L,2017,1.5,0.0709,48.307548
210045,209059,212015,2012,A,L,2013,1.5,0.192,48.080752
209020,211063,213031,2013,B,L,2014,1.5,0.128,48.080752
209058,211126,213047,2013,B,S,2014,1.5,0.446,48.080752
209025,210066,213097,2013,B,S,2014,1.5,0.126,48.080752
210089,209026,214036,2014,C,L,2015,1.5,0.242,48.080752
210045,210066,214112,2014,C,L,2015,1.5,0.272,48.080752
210060,210094,214152,2014,C,S,2015,1.5,0.122,48.080752
209029,210010,212069,2012,A,S,2013,1.5,0.302,47.62716
210097,210013,212086,2012,A,S,2013,1.5,0.194,47.62716
209045,211017,213092,2013,B,L,2015,2.5,0.232,47.62716
209025,211078,213120,2013,B,L,2014,1.5,0.206,47.62716
209007,209050,213132,2013,B,L,2014,1.5,0.062,47.62716
210089,209050,214143,2014,C,L,2015,1.5,0.174,47.62716
210089,211008,214150,2014,C,L,2017,3.5,0.3016,47.400364
209029,209069,212028,2012,A,S,2013,1.5,0.224,47.173568
209029,208036,212048,2012,A,S,2013,1.5,0.258,47.173568
210039,208014,212095,2012,A,L,2014,2.5,0.172,47.173568
209020,209069,213005,2013,B,S,2014,1.5,0.35,47.173568
209007,211125,213081,2013,B,L,2014,1.5,0.124,47.173568
210089,210076,214050,2014,C,S,2015,1.5,0.388,47.173568
210060,211102,214075,2014,C,L,2015,1.5,0.24,47.173568
210069,211011,214097,2014,C,L,2015,1.5,0.048,47.173568
210015,211018,214100,2014,C,L,2016,2.5,0.196,47.173568
210089,211029,214116,2014,C,L,2017,3.5,0.48,46.946772
212016,212068,216012,2016,D,S,2017,1.5,0.2012,46.946772
212016,212126,216045,2016,D,S,2017,1.5,0.1924,46.946772
209029,210010,212069,2012,A,S,2015,3.5,0.902,46.719976
209058,209024,213049,2013,B,L,2014,1.5,0.1,46.719976
210045,211007,214066,2014,C,S,2016,2.5,0.412,46.719976
210060,210094,214153,2014,C,L,2016,2.5,0.17,46.719976
212040,212001,216031,2016,D,L,2018,2.5,0.1486,46.719976
212012,212122,216068,2016,D,S,2017,1.5,0.2173,46.49318
209029,210036,212083,2012,A,L,2014,2.5,0.382,46.266384
210089,211052,214091,2014,C,L,2016,2.5,0.287,46.266384
210069,210020,214146,2014,C,L,2015,1.5,0.188,46.266384
212040,212001,216032,2016,D,L,2018,2.5,0.3466,46.039588
212011,213077,216033,2016,D,L,2017,1.5,0.0249,46.039588
209020,208009,212021,2012,A,L,2013,1.5,0.138,45.812792
209007,210086,213024,2013,B,L,2014,1.5,0.198,45.812792
209009,211081,213130,2013,B,L,2014,1.5,0.086,45.812792
209045,211113,213069,2013,B,L,2014,1.5,0.276,45.3592
209025,210076,213150,2013,B,L,2015,2.5,0.426,45.3592
210069,211047,214077,2014,C,S,2015,1.5,0.29,45.3592
210015,211067,214094,2014,C,L,2015,1.5,0.108,45.3592
210015,209015,214127,2014,C,L,2016,2.5,0.214,45.3592
210045,210074,214142,2014,C,L,2015,1.5,0.142,45.3592
210097,207026,212051,2012,A,L,2013,1.5,0.042,44.905608
210097,210103,212087,2012,A,L,2013,1.5,0.028,44.905608
209020,209054,213014,2013,B,L,2014,1.5,0.204,44.905608
210069,211094,214084,2014,C,L,2015,1.5,0.132,44.905608
209029,210066,212101,2012,A,L,2013,1.5,0.144,44.452016
209020,209069,213004,2013,B,L,2014,1.5,0.22,44.452016
209058,210094,213063,2013,B,S,2014,1.5,0.21,44.452016
209007,208014,213161,2013,B,L,2015,2.5,0.158,44.452016
209058,210094,213062,2013,B,L,2015,2.5,0.286,43.998424
